Feature,Mean_SHAP
C13,0.19569868
C14,0.1592193
V70,0.15184158
C1,0.14056809
V258,0.12413728
C11,0.11990546
V294,0.10937311
CardMeanAmt,0.10548158
card6,0.10477526
V91,0.09632347
ProductZScore,0.09302493
V48,0.079619825
TransactionID,0.07509255
D4,0.074695975
M6,0.074437894
M5,0.07419775
Card1Frequency,0.07181537
card3,0.071526654
C2,0.068180375
D15,0.06666066
D3,0.066378415
card1,0.06420393
C6,0.06403308
D2,0.063358076
CardProductFreq,0.06289685
D1,0.062473442
PEmailFrequency,0.060511928
V201,0.05687942
C8,0.04930032
DecimalAmount,0.046002954
ProductAmtRatio,0.045930684
card2,0.045095623
TransactionHour,0.03679466
C9,0.036609486
CardMinAmt,0.036491506
CardStdAmt,0.036112554
id_20,0.035882324
C10,0.034267586
V53,0.034158386
card5,0.033610497
D8,0.033417083
id_17,0.032777894
TransactionDay,0.03228197
AmtToCardMin,0.031658944
addr1,0.030777859
CardTransactionRank,0.03073798
V165,0.02995981
AddrAmtDifference,0.029475003
AddrProductFreq,0.02940668
V29,0.028953506
CardMaxAmt,0.028597012
V317,0.027855936
P_emaildomain,0.027337478
SameEmailDomain,0.027269794
R_emaildomain,0.026873907
dist1,0.02676294
V308,0.026738483
TransactionDT,0.026119862
id_06,0.025419822
V281,0.024736756
Addr1Frequency,0.024353612
Addr1MeanAmt,0.02374108
D10,0.023720728
V310,0.02312707
id_05,0.022825193
D11,0.022605943
M3,0.02211589
id_02,0.021787968
C4,0.020845966
CardTransactionPercentile,0.020570304
V187,0.02053501
V128,0.020177322
ProductMeanAmt,0.019706672
V82,0.019466378
TransactionAmt,0.018787164
CardAmtDifference,0.018719928
V312,0.018296827
C5,0.018135192
ProductFrequency,0.017836044
DeviceInfo,0.01766154
id_01,0.017259298
C12,0.016677937
V131,0.01627352
AmtToCardMax,0.016092293
id_14,0.014884946
DeviceType,0.014692039
DeviceInfoFrequency,0.014542197
id_31,0.014506335
M4,0.014243463
V257,0.013188101
D5,0.011876463
V283,0.011532285
AmtProductRatio,0.011350192
REmailFrequency,0.011267071
V83,0.011089411
V55,0.010886306
V102,0.010635045
V285,0.010555959
AmtCardRatio,0.010398807
D13,0.010376949
C3,0.010252957
ProductCD,0.010215634
EmailDeviceFreq,0.01012427
V87,0.010120816
V45,0.010117014
V62,0.009501239
V309,0.009486899
V313,0.009323185
ProductMaxAmt,0.009259691
IsGmail,0.009031342
V38,0.008856201
id_16,0.008722924
V90,0.008585301
id_33,0.008484545
V280,0.008483446
V307,0.008337912
TransactionAmt_Log,0.008154242
M8,0.007930689
id_30,0.0076456177
V99,0.0076030907
M2,0.0074703684
V95,0.0073819114
V136,0.0073084556
V129,0.006964602
M9,0.0069486597
V320,0.006948242
V36,0.006868752
id_19,0.0066999113
V315,0.0066585303
DistanceLog,0.0063968617
V54,0.006281744
V61,0.0061824773
V291,0.0061660213
V77,0.006158604
card4,0.0060924543
V19,0.0058732196
DeviceTypeFrequency,0.005858201
V130,0.0057716253
V2,0.0056743263
id_03,0.0056541865
V133,0.0054719765
V314,0.0054621347
id_09,0.005409398
V302,0.005228261
V20,0.0051788385
V293,0.005158605
V35,0.0050935596
V316,0.0050852434
V296,0.0049249325
V203,0.004916639
V76,0.0048499824
V67,0.0048410827
V103,0.004814076
V156,0.004707169
V94,0.0046790824
V75,0.004571304
V12,0.004515635
V189,0.004477813
IsOutlook,0.0044752983
D9,0.004149725
V33,0.0041298005
V306,0.0040774867
V127,0.0039177183
V56,0.0038325752
BusinessHour,0.0037913327
V169,0.0037683197
TransactionWeek,0.0037565017
V261,0.00372873
V63,0.0036941548
V243,0.0036018912
V13,0.0034635707
id_32,0.0034228566
V149,0.0033702492
V8,0.0033051795
V311,0.003242797
V282,0.0030764998
V126,0.003074569
V176,0.0030536882
V25,0.0030535955
V34,0.002885063
V323,0.0028835966
V152,0.002828718
V24,0.0028220124
V78,0.0027882056
id_13,0.002767022
V66,0.0027476142
V216,0.0027221204
V143,0.0027091492
V96,0.0027043333
V64,0.002673838
C7,0.0026472271
IsYahoo,0.0026289385
V166,0.0026103896
V47,0.002610048
V86,0.0026082483
V98,0.0025993262
V318,0.0025855647
V217,0.002411653
V304,0.00240854
V266,0.0023629009
V92,0.0023552363
V72,0.0022405644
V259,0.00222401
V5,0.0022120893
V44,0.0022030734
V256,0.0021841724
V333,0.0021822106
V60,0.0021552271
V139,0.0021443518
V23,0.0020883856
V200,0.0020546287
V219,0.002008486
V52,0.0019916312
V49,0.0019246109
V339,0.0019050406
id_36,0.0019010685
V301,0.0018890448
V159,0.0018403193
V276,0.0018392883
V69,0.001742204
V295,0.0017176431
V6,0.0017042868
V145,0.0017017024
V37,0.0016457716
V124,0.0016319685
V26,0.0015919897
V134,0.0015495999
V147,0.001547331
M7,0.0015187287
V74,0.001494544
V221,0.0014890003
V85,0.001476976
V292,0.0014726229
D6,0.001437941
V162,0.0014366269
id_35,0.0014358773
V10,0.0014138805
V4,0.0013947568
V298,0.0013942157
V51,0.0013704298
V274,0.0013474331
V263,0.001328109
V300,0.0013187372
V287,0.0012935165
V11,0.0012859077
V332,0.0012726864
V22,0.0012717698
V272,0.0012712824
V7,0.0012608555
NightTransaction,0.001259089
V170,0.0012465281
V160,0.0012456108
V289,0.0012301457
AboveAddrAverage,0.0012275943
RoundedAmount,0.0012092973
V43,0.0012089512
Amount_Zscore,0.0012087775
V335,0.0011872929
V223,0.0011732393
WeekendFlag,0.0011677032
V277,0.001162837
V286,0.0011541719
V30,0.0011477573
V244,0.0011446212
id_04,0.0011414983
V220,0.0011257242
V135,0.0011161241
V213,0.0010826796
V251,0.0010770187
V188,0.0010632453
V59,0.0010568905
V79,0.0010508053
V338,0.0010447288
V115,0.0010201427
V279,0.0010196741
V262,0.0009954963
V132,0.0009895123
V206,0.0009882282
V57,0.0009573885
RareDeviceFlag,0.00093731977
V50,0.00092481205
V321,0.0009243829
V209,0.00091258343
V268,0.00091073685
V218,0.00089553435
V108,0.00089263334
V207,0.0008728648
V167,0.00086901407
V3,0.00086552335
id_15,0.00086472253
V245,0.0008606701
AmountBucket,0.0008582346
V58,0.00084394455
D12,0.00077238213
V137,0.0007640866
V150,0.0007624585
V199,0.0007619571
V224,0.0007552172
V71,0.00074015895
V233,0.00073398236
V208,0.000720188
V97,0.0007142158
V190,0.0007050015
V215,0.0007002235
V264,0.0006900955
V197,0.0006891329
V210,0.00067444675
V202,0.0006629012
V329,0.00066126895
V232,0.000659079
V273,0.00065584335
V172,0.00065232586
V109,0.0006481416
V81,0.00063858816
V267,0.00063605065
D14,0.00063411705
NormalizedDistance,0.00061939715
V303,0.000605119
V18,0.0005886554
V278,0.00056491635
V228,0.00055808306
V40,0.00055713
V255,0.0005470154
V265,0.00054125383
V270,0.00053590484
V271,0.0005349788
V288,0.00053451734
id_29,0.0005299028
V229,0.0005297378
V211,0.00052639627
V242,0.00051953155
V237,0.00051684893
V204,0.00051229296
V168,0.0005074534
V234,0.0005018662
V17,0.0004965201
V73,0.0004908648
V184,0.00048829877
id_11,0.00047101913
V225,0.00046964735
V100,0.0004609199
V246,0.0004604966
V275,0.00045729944
V161,0.00045081845
V196,0.00044531413
V177,0.00042451144
V319,0.00041094632
AboveGlobalMean,0.00040387525
V146,0.00039957062
V212,0.0003946157
V80,0.00038054542
V248,0.00037381932
V326,0.00037381757
V331,0.0003729586
V238,0.00036985896
id_37,0.00036749593
V205,0.00036540884
V9,0.00036454873
V336,0.0003643453
V123,0.00036336205
V158,0.00035486268
V151,0.00035159523
V299,0.000344115
V253,0.0003428622
V164,0.00034165266
id_34,0.00031393472
V198,0.00031029974
V105,0.00030742242
V254,0.00030486172
V140,0.0002991862
V157,0.00029557556
V178,0.00029149643
V101,0.00028049384
V148,0.0002718119
V15,0.00026677625
id_38,0.00026544827
V163,0.0002650224
V260,0.0002622062
V230,0.00025835418
V290,0.00024879145
V111,0.00024303996
V214,0.00023890281
V252,0.00023778398
V249,0.00023591149
V222,0.00023419203
V42,0.00023179899
Addr2MeanAmt,0.00023132104
V227,0.0002301234
V171,0.00021186982
V247,0.0002086129
V46,0.0002051775
V93,0.00019523017
V337,0.00019044604
V334,0.0001896002
id_10,0.00018315698
V141,0.00017767701
V186,0.00016541888
V192,0.00015833088
V125,0.00015674168
id_28,0.0001554997
V185,0.00015308097
V180,0.00014941575
V155,0.0001453668
V121,0.00013769441
V284,0.000132619
V21,0.00013246383
V193,0.0001322507
V182,0.00013108247
V239,0.00012922128
V226,0.00012752325
V231,0.00012170017
V144,0.00011499097
V194,0.00011277349
V269,0.00010976856
V330,0.00010384934
addr2,0.00010377574
V106,9.377489e-05
V39,9.0870155e-05
V236,8.285481e-05
V173,8.2413804e-05
V183,7.8998e-05
V191,7.867818e-05
V142,7.621709e-05
V175,7.0698086e-05
V327,6.6451044e-05
V84,6.273246e-05
V138,6.036405e-05
V32,5.7746965e-05
V181,5.2079053e-05
V174,5.1549036e-05
V235,5.0917803e-05
V322,4.5734007e-05
V154,4.2887794e-05
V179,3.9120463e-05
ProductStdAmt,3.8377428e-05
V250,3.6107547e-05
V16,3.468885e-05
id_12,3.349777e-05
V31,3.3318556e-05
V110,3.1562053e-05
V114,2.471733e-05
V195,2.3740728e-05
V112,2.3207042e-05
Addr2Frequency,1.964001e-05
V116,1.7001339e-05
V328,1.6228892e-05
V153,1.35181535e-05
V324,7.8690355e-06
MobileDevice,0.0
RareProductFlag,0.0
LongDistanceFlag,0.0
RareEmailFlag,0.0
V241,0.0
V325,0.0
V14,0.0
V240,0.0
V305,0.0
V297,0.0
V113,0.0
V117,0.0
V118,0.0
V122,0.0
V120,0.0
V119,0.0
V88,0.0
V104,0.0
M1,0.0
HighValueFlag,0.0
V107,0.0
V28,0.0
V27,0.0
V65,0.0
V68,0.0
V89,0.0
V41,0.0
V1,0.0
NormalizedAmount,0.0
